#{"t_start": 1676008442.6237855, "env_id": null}
r,l,t
-281.48,452,458.74074
-256.36,463,461.008206
-247.0,439,463.09136
-217.0,533,465.450285
-227.0,427,466.991693
-241.0,365,468.87431
-125.0,573,471.493671
-202.0,529,473.982474
-194.0,441,476.112535
-243.0,493,478.46407
-288.8,454,480.833394
-281.48,440,482.953995
-230.0,465,485.209887
-249.0,417,487.231531
-108.0,644,490.225709
-253.48,499,492.595424
-251.92,451,494.623738
-278.12,342,495.861675
-153.0,667,499.141169
-218.0,413,501.21888
-281.48,423,502.820825
-290.76,337,504.58959
239.0,673,507.74109
-242.0,463,509.942179
-131.0,521,512.564564
-229.16,452,514.779811
-199.0,519,517.195702
-225.0,475,519.596783
-261.0,466,521.862467
-238.48,504,524.328984
-242.0,428,526.534714
-244.0,429,528.645026
-281.48,451,530.851916
-254.16,474,532.707802
-277.0,444,534.885526
-227.48,463,537.052536
-222.0,436,539.203562
-251.0,483,541.537728
-243.0,426,543.689025
-216.0,420,545.776729
-258.16,505,548.154827
-241.0,483,550.311564
-233.0,400,551.811516
-288.0,436,553.935948
-277.0,408,555.938839
-277.0,429,558.072306
-260.0,349,559.939762
-133.48,654,562.690736
-186.0,459,564.790922
-237.84,431,566.727819
-168.16,549,569.10723
-264.16,422,570.619807
-277.0,428,572.504583
-267.0,441,574.502615
-218.48,426,576.501492
-260.0,493,578.712236
-248.48,447,580.755595
-177.0,517,583.063446
-258.0,476,585.170171
-260.0,383,586.944225
-263.0,453,588.552155
-260.0,407,590.468861
-269.0,422,592.371408
-260.0,427,594.276311
-260.0,454,596.268969
-124.16,673,599.030291
-243.0,347,600.691807
-260.0,428,602.6267
-202.0,439,604.21656
-130.0,606,607.224162
-173.0,277,608.204295
-178.16,507,610.398969
-217.16,501,612.566231
-264.28,430,614.518484
-263.48,437,616.516227
-235.48,485,618.674486
-204.0,493,620.927755
-235.76,379,622.450423
-230.0,425,624.586308
-244.0,451,626.862331
-240.0,441,629.11216
-178.16,673,632.268362
285.0,648,635.814354
-265.16,440,637.52252
-286.0,423,639.684916
-249.16,450,641.918238
-283.0,414,643.97447
-246.48,496,646.376248
-266.0,428,648.499884
-224.0,475,650.837354
-249.0,373,652.333268
-231.0,464,654.603047
-186.0,494,657.105598
-250.0,464,659.368154
-244.0,478,661.713428
-277.0,394,663.669898
-277.0,459,665.909294
-254.48,458,668.115412
-181.64,519,670.625793
-196.0,464,672.90403
-253.48,466,675.219769
-251.0,439,676.915484
-175.48,527,679.553535
-271.32,432,681.53594
-124.0,555,683.914588
-164.48,570,686.330323
-161.48,486,688.489178
-199.0,506,690.664823
-214.0,428,692.554368
-152.0,673,695.72359
-190.0,508,697.904185
-250.0,486,700.002253
-233.0,423,701.492357
-177.16,523,703.778945
-203.16,507,706.08952
-203.16,507,707.737355
-203.16,507,709.357584
-203.16,507,711.035403
-203.16,507,712.723326
-203.16,507,714.400307
-203.16,507,716.058552
-203.16,507,717.720823
-203.16,507,719.422253
-203.16,507,721.085243
