#{"t_start": 1676011955.3245938, "env_id": null}
r,l,t
-191.72,343,409.541346
-191.76,799,413.051671
109.48,446,415.257265
-107.0,404,416.792225
-203.0,476,419.047474
-186.0,505,421.184323
-162.0,484,423.204453
-250.0,441,425.181675
-250.0,253,426.535259
-130.0,359,427.833431
-215.0,286,429.073646
-247.0,398,430.81807
-189.0,409,432.764781
-103.0,590,435.428645
-196.0,388,437.047959
-109.24,376,438.917477
449.0,179,440.01563
319.56,298,441.101283
-221.0,425,442.82466
237.0,452,444.740251
389.0,273,445.836075
-108.0,291,447.342971
-116.0,442,449.549836
-100.32,501,451.56325
-194.0,454,453.416375
-107.0,390,454.858198
-224.0,281,456.358994
307.24,278,457.901381
493.0,430,459.409623
-220.0,322,460.878275
242.28,332,462.465619
-195.0,345,463.846479
-146.0,316,465.47959
117.0,305,466.728023
-243.0,419,468.308144
-189.0,273,469.709313
-137.0,470,471.812196
-185.0,484,473.80196
-106.28,540,476.206944
-240.0,258,477.252542
-214.0,300,478.799734
-237.0,425,480.852455
-116.0,530,483.327421
633.0,260,484.309533
-152.0,355,486.078326
-120.0,503,488.425049
-222.0,311,489.803801
-196.0,424,491.501049
-99.6,555,493.910015
385.0,238,495.047711
-176.0,422,496.737074
-180.0,435,498.622829
-277.0,417,500.333758
-263.76,333,501.928646
-185.0,365,503.795904
-191.76,469,505.971428
-192.0,422,508.127531
-117.04,386,509.711307
-129.0,507,511.99185
-149.0,332,513.432707
-101.0,485,515.608013
453.0,275,516.659614
203.08,377,518.214973
-214.68,330,519.675124
-166.0,314,520.944969
-159.0,517,523.282693
505.0,341,525.023787
-209.0,374,526.8152
-281.8,164,527.362457
117.0,562,529.642938
125.0,264,530.914376
-174.08,357,532.375177
188.36,386,534.198088
390.6,331,535.913885
-117.32,266,536.987574
-189.96,459,539.028912
-119.0,509,541.072294
-108.0,287,542.415666
327.72,416,544.445935
-114.0,415,546.211294
677.0,221,547.475541
-277.0,225,548.357289
-145.0,385,550.200893
-129.0,501,552.253674
-110.0,471,554.186818
-194.0,267,555.103695
-213.0,265,556.379847
-208.0,394,558.218011
-277.0,259,559.248687
-266.76,137,560.140976
359.72,343,561.363037
403.72,276,562.566649
269.0,376,564.087111
239.24,345,565.740892
257.0,285,567.253414
557.0,238,568.114417
-153.0,307,569.464893
-277.0,270,570.558372
-188.0,395,572.397687
369.0,358,574.138644
-110.0,442,575.90668
-161.0,385,577.364408
-108.84,330,578.894498
-165.0,543,581.312629
-102.0,314,582.777485
-240.0,217,583.554103
101.0,310,584.931605
-136.0,514,587.283033
101.0,412,589.086829
153.0,357,590.555542
-113.0,447,592.624537
-154.0,524,595.07195
-108.0,458,597.277773
433.0,234,598.188729
621.0,216,599.337667
-146.0,267,600.453249
-194.0,443,602.625903
228.52,249,604.058259
-198.0,261,605.160442
453.48,275,606.751229
-120.52,295,607.997954
573.48,210,609.260894
511.24,281,610.458918
-241.0,195,611.626082
189.48,322,613.066066
-174.0,218,614.300964
-277.0,293,615.571391
-151.0,358,617.431693
113.0,469,619.755558
-249.0,350,621.506444
-143.24,227,622.424224
-260.0,395,624.384006
673.0,93,624.735036
-123.0,430,626.654063
-218.0,305,627.883435
361.0,179,628.92629
-124.0,459,631.154232
-116.0,276,632.146539
378.76,232,633.212422
-114.0,320,634.442436
-182.0,414,636.320619
105.0,432,638.351743
-163.0,369,640.21003
709.0,241,641.157715
117.0,372,642.967854
-251.0,466,645.349989
684.2,110,645.808934
-131.0,312,647.449876
-212.0,345,648.759183
105.0,281,650.439544
554.12,92,650.7626
-157.0,481,652.817454
137.48,632,655.53127
369.0,514,657.706285
-129.76,571,660.312464
157.0,297,661.85715
-122.0,300,663.382863
808.36,84,663.666913
385.0,350,664.853136
-127.8,997,669.372051
257.0,160,670.33849
197.0,419,672.070514
-251.8,272,673.55158
-213.0,263,674.637248
101.0,268,676.08685
-105.36,532,678.201173
276.2,286,679.496729
-102.0,372,680.986734
413.0,348,682.755119
413.0,348,684.032839
413.0,348,685.149497
413.0,348,686.264659
413.0,348,687.375252
413.0,348,688.536649
413.0,348,689.628076
413.0,348,690.761938
413.0,348,691.884759
413.0,348,693.018008
