#{"t_start": 1676009163.814888, "env_id": null}
r,l,t
-250.0,217,402.790676
-241.0,404,404.538407
-189.68,438,406.611359
-236.0,405,408.595202
-200.0,517,410.618896
-202.0,375,412.22783
-212.0,358,413.710454
181.0,354,415.510878
-188.0,347,417.274087
-277.0,416,419.003215
-249.16,281,420.487079
-218.0,374,422.366237
-129.0,374,423.738852
-102.0,515,425.995173
-260.0,259,427.381541
-243.0,426,429.457781
-255.0,258,430.537545
-277.0,260,431.992939
-171.0,310,433.269002
-277.0,293,434.812621
-185.96,209,435.682457
-247.0,311,437.243582
-249.0,357,438.771418
-234.0,414,440.676775
-226.0,350,442.117566
-277.0,239,443.473121
-196.0,406,445.114595
-209.0,321,446.550364
-277.0,246,447.592005
-205.0,343,448.763313
-211.0,433,450.493273
-171.0,263,451.696465
-182.0,290,452.683624
809.48,126,453.137972
-224.0,474,455.265492
-226.0,445,457.324006
-271.0,374,459.190403
-163.0,368,461.036
-203.0,448,463.157652
-227.0,400,464.709072
-244.76,254,466.097915
-222.0,348,467.481388
-251.0,411,469.463264
-229.0,468,471.588145
-125.0,489,473.860038
-241.0,416,475.806631
-148.0,404,477.450863
-260.0,476,479.554728
-184.0,384,481.103024
-201.0,412,482.942144
-147.0,388,484.635839
-116.84,396,486.519151
-180.76,491,488.804518
-97.52,432,490.599698
-124.0,416,492.083646
-290.76,191,493.180174
-114.0,494,495.541287
-254.76,186,496.290969
-156.52,286,497.799169
-162.84,459,500.040604
-180.0,345,501.328271
-208.12,435,503.252915
-158.52,344,504.909909
685.0,250,505.927961
-193.0,363,507.730954
-175.8,285,508.909651
-128.56,436,511.108185
-218.0,432,513.278052
315.72,220,514.610593
-277.0,300,515.724105
-179.08,335,517.225937
-187.2,1031,522.105501
-94.12,587,524.997696
-184.0,476,527.358177
-196.0,282,528.584474
120.2,435,530.57149
-115.0,476,532.684416
-131.0,493,535.104217
-201.0,340,536.94152
-249.0,457,539.206586
-203.0,340,540.648821
-198.0,385,542.624042
-243.0,236,543.955463
-169.52,240,544.968457
-228.0,250,546.392207
-217.0,446,548.666413
-241.92,204,549.400185
-193.24,392,551.081177
-187.0,377,552.610833
-186.0,357,554.48473
-111.68,285,556.055931
-163.0,416,557.592417
-215.32,674,560.608191
-227.0,257,561.640912
-240.0,293,563.117895
-149.08,314,564.417815
-179.0,334,565.958137
-128.24,320,567.27923
-98.04,438,569.103425
261.0,271,570.146307
-153.52,271,571.545909
-102.0,632,574.474335
-131.0,404,576.365459
-164.2,184,577.084684
-123.0,480,579.197966
-167.0,377,580.688639
333.32,259,581.618287
-236.8,286,582.98991
-169.44,186,583.726931
-248.0,299,585.25095
-223.0,283,586.399259
-101.0,499,588.583728
-155.52,476,590.606117
-108.04,353,592.338192
-204.0,287,593.505088
-173.52,238,594.684683
-108.52,433,596.385883
709.48,129,596.897998
-180.0,393,598.761809
-110.52,293,599.786778
-250.24,244,600.822167
-176.52,400,602.433065
152.52,325,603.742417
